Titre,thématique
Respirons mieux dans le 20ème - Données mini-stations,Environnement
Consultations des centres de santé à Paris,"Equipements, Services, Social"
Immobilisations - Etat des entrées 2013 - 2017,Administration et Finances Publiques
Etat du personnel,Administration et Finances Publiques
Zonage pluvial,Environnement
PLU - Equilibre entre destinations,Urbanisme et Logements
PLU - Périmètres de localisation d'équipements,Urbanisme et Logements
Adresses des panneaux d'affichage des Conseils de Quartier,Citoyenneté
Linéaires des Voies,Urbanisme et Logements
Quartiers administratifs,Urbanisme et Logements
CASVP - Liste des EHPAD,"Equipements, Services, Social"
Emprises bâties et non baties,Urbanisme et Logements
Elections - Européennes 2019,Citoyenneté
CASVP - Bénéficiaires - Pass Paris Seniors & Access' de 2013 à 2017,"Equipements, Services, Social"
PLU - Volumétries existantes à conserver,Urbanisme et Logements
Etablissements scolaires – Ecoles maternelles,"Equipements, Services, Social"
Immobilisations - Etat des Entrées et Sorties à partir de 2018,Administration et Finances Publiques
Etablissements scolaires – Collèges,"Equipements, Services, Social"
PIM (Programme d'investissement de la Mandature),Administration et Finances Publiques
Comptes Administratifs - Budgets Annexes,Administration et Finances Publiques
Comptes Administratifs - Etats Spéciaux d’Arrondissement,Administration et Finances Publiques
PLU - Voies publiques et privées - Aménagements piétonniers,Urbanisme et Logements
Bilan Social - Temps de travail des effectifs titulaires permanents à temps partiel,Administration et Finances Publiques
CASVP - Nombre de bénéficiaires en situation de handicap par type d'aide,"Equipements, Services, Social"
PLU - Emplacements réservés,Urbanisme et Logements
Elections - Présidentielles 2007 - 2èmeTour,Citoyenneté
PLU - Secteurs d'anciennes carrières souterraines,Urbanisme et Logements
Elections - Présidentielles 2017 - 1erTour,Citoyenneté
Immobilisations - Etat des Amortissements,Administration et Finances Publiques
PLU - Fuseaux de protection du site de Paris,Urbanisme et Logements
PLU - Annexes - Zones d'Aménagement Concerté,Urbanisme et Logements
Marchés publics - Liste des marchés de la collectivité parisienne,Administration et Finances Publiques
Subventions aux associations accordées ou non,Administration et Finances Publiques
PLU – Protections patrimoniales – Éléments particuliers protégés,Urbanisme et Logements
Commission du Vieux Paris - Adresses instruites,"Culture, Urbanisme et Logements"
Elections - Régionales 2010 - 1erTour,Citoyenneté
PLU - Protections patrimoniales - Motivations,Urbanisme et Logements
CASVP - Pass Paris Access' Jeunes,"Equipements, Services, Social"
Budgets Votés - Budget Principal à partir de 2019 (M57 Ville-département),Administration et Finances Publiques
Ordre du jour du Conseil de Paris depuis janvier 2015,Citoyenneté
CASVP - Listes des marchés publics à compter de 2018,Administration et Finances Publiques
PLU - Sectorisation végétale de la zone UG,Urbanisme et Logements
Budgets Votés - Budget Principal 2018 (M57 Ville-département),Administration et Finances Publiques
PLU - Annexes - Sursis à statuer,Urbanisme et Logements
Femmes illustres à Paris - Parcours,Commerces et Tourisme
Les 10 rémunérations les plus élevées des agents publiques,Administration et Finances Publiques
Ordres du jour du Conseil Général  - 2008 à 2014,Citoyenneté
Bilan Social - Promotions de grade suite à examen professionnel (détails),Administration et Finances Publiques
Subventions versées - Annexe Compte administratif à partir de 2018,Administration et Finances Publiques
Bilan Social - Formation par catégories,Administration et Finances Publiques
Bilan Social - Temps de travail des effectifs titulaires permanents,Administration et Finances Publiques
Bilan Social - Positions statutaires particulières : Détachements,Administration et Finances Publiques
Voies - Filiation des dénominations des voies actuelles,Urbanisme et Logements
CASVP - Nombre de bénéficiaires d'aides de l'action sociale,"Equipements, Services, Social"
PLU - Annexes - Projets urbains partenariaux,Urbanisme et Logements
CASVP - Paris Pass Familles,"Equipements, Services, Social"
CASVP - Budget voté Budget général,Administration et Finances Publiques
Terrasses éphémères,Urbanisme et Logements
Zones Touristiques Internationales,Commerces et Tourisme
Dette propre,Administration et Finances Publiques
Secteurs scolaires – Ecoles élémentaires,"Equipements, Services, Social"
Bilan Social - Temps de travail des effectifs non titulaires permanents,Administration et Finances Publiques
Secteurs des bureaux de vote en 2012,Citoyenneté
PLU - Annexes - Servitudes d'alignement,Urbanisme et Logements
Bilan Social - Domiciliation des agents,Administration et Finances Publiques
Bilan Social - Recrutement sur concours,Administration et Finances Publiques
Comptes Administratifs - Autorisations de Programmes à partir de 2018 (M57 Ville-Département),Administration et Finances Publiques
CASVP - Liste des Centres d’Hébergement,"Equipements, Services, Social"
Bilan Social - Tranche d'âge détaillées pour 15 corps,Administration et Finances Publiques
Volumes bâtis,Urbanisme et Logements
CASVP - Budgets votés - Section d'exploitation - Budgets annexes,Administration et Finances Publiques
CASVP - Paris Logement Familles,"Equipements, Services, Social"
Immobilisations - Etat des Sorties 2013 - 2017,Administration et Finances Publiques
Subventions versées - Annexe Compte administratif 2013-2017,Administration et Finances Publiques
Budgets Votés - Budget Principal 2009 - 2017 (M14-M52 Ville-département),Administration et Finances Publiques
PLU - Secteurs de poches de gypse antéludien,Urbanisme et Logements
Laboratoires d'analyses médicales VIHTEST,"Equipements, Services, Social"
Ordres du jour du Conseil Municipal - 2008 à 2014,Citoyenneté
Bilan Social - Temps de travail des effectifs non titulaires permanents à temps partiel,Administration et Finances Publiques
Paris autrement - Balades dans les arrondissements périphériques - POI,Commerces et Tourisme
CASVP - Immobilisations - Etat des sorties,Administration et Finances Publiques
Construisons la Métropôle du Grand Paris - idée.paris,"Equipements, Services, Social"
Budgets votés - Etats Spéciaux d’Arrondissements à partir de 2018,Administration et Finances Publiques
Dette garantie,Administration et Finances Publiques
Consultation numérique sur la participation citoyenne à Paris,"Equipements, Services, Social"
